Region 94 Avg IOU: 0.641044, Class: 0.720569, Obj: 0.013826, No Obj: 0.000162, .5R: 0.800000, .75R: 0.200000,  count: 5
Region 106 Avg IOU: 0.696986, Class: 0.801005, Obj: 0.129608, No Obj: 0.000028, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 82 Avg IOU: 0.747771, Class: 0.631805, Obj: 0.030411, No Obj: 0.000190, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: 0.682196, Class: 0.662461, Obj: 0.137294, No Obj: 0.000158, .5R: 1.000000, .75R: 0.285714,  count: 7
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000017, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.600577, Class: 0.821354, Obj: 0.009395, No Obj: 0.000107, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.836894, Class: 0.826682, Obj: 0.098379, No Obj: 0.000168, .5R: 1.000000, .75R: 1.000000,  count: 3
Region 106 Avg IOU: 0.566819, Class: 0.835816, Obj: 0.039016, No Obj: 0.000028, .5R: 0.333333, .75R: 0.333333,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000093, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.679450, Class: 0.951563, Obj: 0.446046, No Obj: 0.000228, .5R: 0.857143, .75R: 0.285714,  count: 7
Region 106 Avg IOU: 0.484365, Class: 0.978720, Obj: 0.179941, No Obj: 0.000021, .5R: 0.000000, .75R: 0.000000,  count: 1
3005: 0.689664, 0.716520 avg, 0.000010 rate, 9.137679 seconds, 192320 images
Loaded: 0.000060 seconds
Region 82 Avg IOU: 0.658004, Class: 0.958101, Obj: 0.063096, No Obj: 0.000163, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.723285, Class: 0.835037, Obj: 0.059441, No Obj: 0.000195, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 106 Avg IOU: 0.608312, Class: 0.963408, Obj: 0.173606, No Obj: 0.000025, .5R: 0.666667, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.660015, Class: 0.712427, Obj: 0.098586, No Obj: 0.000179, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: 0.594093, Class: 0.835750, Obj: 0.000612, No Obj: 0.000163, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.785484, Class: 0.754798, Obj: 0.195016, No Obj: 0.000034, .5R: 1.000000, .75R: 0.666667,  count: 3
